ActorID,ActorFirstName,ActorMiddleName,ActorLastName,Birthday,Description,Nationality
2888,Will,NULL,Smith,1968-09-25,"Willard Christopher ""Will"" Smith, Jr. (born S","Philadelphia, Pennsylvani"
2954,Jeffrey,NULL,Wright,1965-12-07,"Jeffrey Wright was born on December 7, 1965 i","Washington, D.C., USA"
2955,Chris,NULL,Cooper,1951-07-09,"From Wikipedia, the free encyclopedia.

Chris","Kansas City, Missouri, US"
2956,Amanda,NULL,Peet,1972-01-11,"From Wikipedia, the free encyclopedia.

Heigh","New York City - New York "
2957,Alexander,NULL,Siddig,1965-11-21,"From Wikipedia, the free encyclopedia.

Siddi",Sudan
2962,Robert,NULL,Foxworth,1941-11-01,,
2963,Nicolas,NULL,Cage,1964-01-07,"Nicolas Kim Coppola (born January 7, 1964), k","Long Beach, California, U"
2969,Chris,NULL,Penn,1965-10-10,"From Wikipedia, the free encyclopedia

Christ","Los Angeles, California, "
2975,Laurence,NULL,Fishburne,1961-07-30,"Laurence John Fishburne III (born July 30, 19","Augusta, Georgia, United "
2978,Max,NULL,Minghella,1985-09-16,"From Wikipedia, the free encyclopedia.

Max G","Hampstead, London, Englan"
2983,Mark,NULL,Strong,1963-08-30,"British actor Mark Strong, who played Jim Pri","London, England, UK"
3010,Tony,NULL,Ganios,1959-10-21,,
3026,Rob,NULL,Reiner,1947-03-06,"From Wikipedia, the free encyclopedia.  Rober","The Bronx, New York, USA"
3033,Wil,NULL,Wheaton,1972-07-29,"From Wikipedia, the free encyclopedia.  Richa","Burbank, California, Unit"
3035,Jerry,NULL,O'Connell,1974-02-17,"From Wikipedia, the free encyclopedia.

Jerem","New York City, New York, "
3036,John,NULL,Cusack,1966-06-28,"John Paul Cusack (born June 28, 1966 - Height","Evanston - Illinois - USA"
3037,Richard,NULL,Dreyfuss,1947-10-29,"From Wikipedia, the free encyclopedia

Richar","Brooklyn, New York, USA"
3038,Gary,NULL,Riley,0000-00-00,,
3044,Scott,NULL,Beach,1931-01-13,,
3051,Toni,NULL,Collette,1972-11-01,"From Wikipedia, the free encyclopedia.

Anton","Sydney, New South Wales, "
3052,Rachel,NULL,Griffiths,1968-12-18,"Australian actress Rachel Griffiths burst ont","Melbourne, Victoria, Aust"
3061,Ewan,NULL,McGregor,1971-03-31,"Ewan Gordon McGregor was born 31 March 1971 i","Perth, Scotland, UK"
3063,Tilda,NULL,Swinton,1960-11-05,"​From Wikipedia, the free encyclopedia.  

Ka","London, United Kingdom"
3064,Peter,NULL,Mullan,1959-11-02,"From Wikipedia, the free encyclopedia.

Peter","Peterhead, Scotland, UK"
3071,Ewan,NULL,Stewart,1957-10-08,"​From Wikipedia, the free encyclopedia.  

Ew","Glasgow, Scotland, UK"
3072,Daniel,NULL,Lapaine,0000-00-00,,
3084,Marlon,NULL,Brando,1924-04-03,"From Wikipedia, the free encyclopedia.

Marlo","Omaha, Nebraska, USA"
3085,James,NULL,Caan,1940-03-26,"James Caan  (born March 26, 1940) is an Ameri","Bronx, New York, USA"
3086,Richard,S.,Castellano,1933-09-04,"​From Wikipedia, the free encyclopedia.

Rich","The Bronx, New York, U.S"
3087,Robert,NULL,Duvall,1931-01-05,"​From Wikipedia, the free encyclopedia.

Robe","San Diego, California, US"
3088,Sterling,NULL,Hayden,1916-03-26,"From Wikipedia, the free encyclopedia.

Sterl","Upper Montclair, New Jers"
3090,Richard,NULL,Conte,1910-03-24,"​From Wikipedia, the free encyclopedia.

Rich","Jersey City, New Jersey, "
3091,Al,NULL,Lettieri,1928-02-24,"​From Wikipedia, the free encyclopedia.  

Al",
3092,Diane,NULL,Keaton,1946-01-05,"American film actress Diane Keaton (Born Dian","Los Angeles, California, "
3093,Abe,NULL,Vigoda,1921-02-24,"From Wikipedia, the free encyclopedia

Abraha","New York City, New York, "
3094,Talia,NULL,Shire,1946-04-25,"From Wikipedia, the free encyclopedia.

Talia"," Lake Success, New York, "
3095,Gianni,NULL,Russo,1943-12-12,"With a singularly nebulous background, which,","New York City, New York, "
3096,John,NULL,Cazale,1935-08-12,"From Wikipedia, the free encyclopedia.  John ","Boston, Massachusetts, US"
3125,Madonna,,,1958-08-16,"From Wikipedia, the free encyclopedia

Madonn","Bay City, Michigan"
3127,Lili,NULL,Taylor,1967-02-20,"From Wikipedia, the free encyclopedia

Lili A","Glencoe - Illinois - USA"
3128,Alicia,NULL,Witt,1975-08-21,"​From Wikipedia, the free encyclopedia.

Alic","Worcester, Massachusetts,"
3129,Tim,NULL,Roth,1961-05-14,"From Wikipedia, the free encyclopedia

Simon ","London, England, UK"
3130,Jennifer,NULL,Beals,1963-12-19,"From Wikipedia, the free encyclopedia

Jennif","Chicago - Illinois - USA"
3131,Antonio,NULL,Banderas,1960-08-10,"José Antonio Domínguez Banderas (born August ","Málaga, Andalucía, Spain "
3136,Salma,NULL,Hayek,1966-09-02,"Actress Salma Hayek is one of the most notabl","Coatzacoalcos, Veracruz, "
3137,Paul,NULL,Calderon,0000-00-00,"From Wikipedia, the free encyclopedia.

Paul ","Puerto Rico"
3138,Kathy,NULL,Griffin,1960-11-04,"​From Wikipedia, the free encyclopedia.  

Ka","Chicago, IL"
3140,Marc,NULL,Lawrence,1910-02-17,"​From Wikipedia, the free encyclopedia

Marc ","New York City, New York, "
3141,Marisa,NULL,Tomei,1964-12-04,"From Wikipedia, the free encyclopedia

Marisa","Brooklyn, New York, USA"
3142,John,NULL,Marley,1907-10-17,"From Wikipedia, the free encyclopedia

John M","New York City, New York, "
3143,Rudy,NULL,Bond,1912-10-01,,
3144,Al,NULL,Martino,1927-10-07,,
3145,Simonetta,NULL,Stefanelli,1954-11-30,,"Rome, Lazio, Italy"
3151,Jack,NULL,Lemmon,1925-02-08,"From Wikipedia, the free encyclopedia

John U","Newton, Massachusetts, US"
3171,Lee,NULL,Strasberg,1901-09-17,"​From Wikipedia, the free encyclopedia.  

Le","Budzanów, Austria-Hungary"
3172,Michael,V.,Gazzo,1923-04-05,,
3173,G.,D.,Spradlin,1920-08-31,"From Wikipedia, the free encyclopedia.

Gerva","Daylight, Garvin County, "
3174,Richard,NULL,Bright,1937-06-28,"​From Wikipedia, the free encyclopedia.  

Ri","Brooklyn, New York, U.S."
3196,Juliette,NULL,Lewis,1973-06-21,"American actress and musician Juliette Lewis ","Los Angeles, California, "
3197,Tom,NULL,Sizemore,1961-11-29,"​From Wikipedia, the free encyclopedia.  

Th","Detroit - Michigan - USA"
3198,Rodney,NULL,Dangerfield,1921-11-22,"From Wikipedia, the free encyclopedia.  Rodne","Babylon, New York, U.S."
3201,Pruitt,Taylor,Vince,1960-07-05,"From Wikipedia, the free encyclopedia.  Pruit","Baton Rouge, Louisiana, U"
3202,Edie,NULL,McClurg,1951-07-23,,
3203,Russell,NULL,Means,1939-11-10,"​From Wikipedia, the free encyclopedia

Russe","Pine Ridge, South Dakota,"
3206,Kirk,NULL,Baltz,1959-09-14,,
3208,Maria,NULL,Pitillo,1966-01-08,"​From Wikipedia, the free encyclopedia

Maria","Elmira, New York"
3210,Sean,NULL,Stone,0000-00-00,,
3214,Steven,NULL,Wright,1955-12-06,"From Wikipedia, the free encyclopedia.  

Ste","New York City, New York, "
3218,Louis,NULL,Lombardi,0000-00-00,,
3223,Robert,Downey,Jr.,1965-04-04,"Robert John Downey, Jr. (born April 4, 1965) ","New York City - New York "
3229,Arliss,NULL,Howard,1954-10-18,"From Wikipedia, the free encyclopedia.  Arlis","Independence, Missouri, U"
3234,Joan,NULL,Cusack,1962-10-11,"From Wikipedia, the free encyclopedia.

Joan ","New York City, New York, "
3265,Eli,NULL,Wallach,1915-12-07,"From Wikipedia, the free encyclopedia

Eli He","Brooklyn, New York, USA"
3266,Joe,NULL,Mantegna,1947-11-13,"​From Wikipedia, the free encyclopedia

Josep","Chicago, Illinois, USA"
3267,George,NULL,Hamilton,1939-08-12,"From Wikipedia, the free encyclopedia

George","Memphis, Tennessee, U.S."
3268,Raf,NULL,Vallone,1916-02-17,"​From Wikipedia, the free encyclopedia

Raffa","Tropea, Calabria, Italy"
3269,Franc,NULL,D'Ambrosio,1962-08-11,,"Bronx, New York"
3279,Francesca,De,Sapio,0000-00-00,,
3280,Oreste,NULL,Baldini,0000-00-00,,
3281,Gastone,NULL,Moschin,1929-06-08,"Gastone Moschin (San Giovanni Lupatoto, 8 giu","San Giovanni Lupatoto"
3291,Hugh,NULL,Grant,1960-09-09,"From Wikipedia, the free encyclopedia.

Hugh ","London, England, UK"
3292,Nicholas,NULL,Hoult,1989-12-07,"From Wikipedia, the free encyclopedia.  Nicho","Wokingham, England, UK"
3293,Rachel,NULL,Weisz,1970-03-07,"Rachel Hannah Weisz (born 7 March 1970) is an","London, England, UK"
3300,Natalia,NULL,Tena,1984-11-01,," London, England"
3333,Giuseppe,NULL,Sillato,0000-00-00,,
3392,Michael,NULL,Douglas,1944-09-25,"Michael Kirk Douglas (born September 25, 1944","New Brunswick, New Jersey"
3398,Kim,NULL,Bodnia,1965-04-12,"​Kim Bodnia (født 12. april 1965) er en dansk",
3402,Line,NULL,Kruse,1975-08-03,"​Line Kruse, (født 3. august 1975), er en dan",
3407,Søren,NULL,Sætter-Lassen,0000-00-00,,
3413,Victor,NULL,Rendina,0000-00-00,,
3414,Tony,NULL,Giorgio,0000-00-00,,
3417,Tony,NULL,Goldwyn,1960-05-20,"From Wikipedia, the free encyclopedia

Anthon","Los Angeles, California, "
3418,Vincent,NULL,Schiavelli,1948-11-11,,
3489,Naomi,NULL,Watts,1968-09-28,"Naomi Watts had already been a working actres","Shoreham, Kent, England, "
3490,Adrien,NULL,Brody,1973-04-14,"Adrien Brody (born April 14, 1973) is an Amer","New York City, New York, "
3491,Thomas,NULL,Kretschmann,1962-09-08,"From Wikipedia, the free encyclopedia.  Thoma","Dessau, German Democratic"
3493,Evan,NULL,Parke,1968-01-02,,
3497,Kyle,NULL,Chandler,1965-09-17,"From Wikipedia, the free encyclopedia.

Kyle ","Buffalo, New York, USA"
3636,Paul,NULL,Newman,1925-01-26,"From Wikipedia, the free encyclopedia  
  Pau","Shaker Heights, Ohio, USA"
3653,José,Luis,Torrijo,0000-00-00,,
3713,Frances,NULL,Fisher,1952-05-11,"From Wikipedia, the free encyclopedia

France","Milford-on-the-sea, Hamps"
3753,Giancarlo,NULL,Giannini,1942-08-01,"From Wikipedia, the free encyclopedia

Gianca","La Spezia - Liguria - Ita"
3799,Billy,Dee,Williams,1937-04-06,"Billy Dee Williams was born in  He began his ","New York City, New York, "
3809,Francesca,NULL,Neri,1964-02-10,"From Wikipedia, the free encyclopedia.  Franc","Trento, Italy"
3810,Javier,NULL,Bardem,1969-03-01,"Spanish actor, Javier Bardem was born 1 March","Las Palmas de Gran Canari"
3813,Álex,NULL,Angulo,1953-04-12,,
3855,Per,NULL,Oscarsson,1927-01-28,,"Stockholm, Sweden"
3872,Daniel,NULL,Brühl,1978-06-16,"​From Wikipedia, the free encyclopedia

Danie","Barcelona, Barcelona, Cat"
3894,Christian,NULL,Bale,1974-01-30,"Christian Charles Philip Bale is an English a","Haverfordwest, Wales, UK"
3895,Michael,NULL,Caine,1933-03-14,"Sir Michael Caine is an English film actor. H","Rotherhithe - London - En"
3896,Liam,NULL,Neeson,1952-06-07,"William John ""Liam"" Neeson OBE (born 7 June 1","Ballymena, County Antrim,"
3897,Katie,NULL,Holmes,1978-12-18,"From Wikipedia, the free encyclopedia

Kate N","Toledo - Ohio - USA"
3899,Ken,NULL,Watanabe,1959-10-21,"From Wikipedia, the free encyclopedia.

Ken W","Koide, Niigata, Japan"
3900,Linus,NULL,Roache,1964-02-01,"From Wikipedia, the free encyclopedia.

Linus"," Manchester, Lancashire, "
3901,Richard,NULL,Brake,1964-11-30,"Richard Brake (born 30 November 1964) is a We","Ystrad Mynach, Hengoed, W"
3905,William,H.,Macy,1950-03-13,"From Wikipedia, the free encyclopedia  Willia","Miami, Florida, US"
3907,Harve,NULL,Presnell,1933-09-14,"From Wikipedia, the free encyclopedia

Harve ",
3910,Frances,NULL,McDormand,1957-06-23,"American film, stage and television actress F","Chicago, Illinois, USA "
3911,John,Carroll,Lynch,1963-08-01,"From Wikipedia, the free encyclopedia.  John ","Boulder, Colorado, U.S."
3926,Albert,NULL,Finney,1936-05-09,"Albert Finney came from the theatre, where he","Salford, Greater Manchest"
3934,Burghart,NULL,Klaußner,1949-09-13,"From Wikipedia, the free encyclopedia

Burgha","Berlin, Germany"
3952,Kevin,NULL,Grevioux,0000-00-00,"​From Wikipedia, the free encyclopedia

Kevin","Chicago, Illinois, U.S."
3967,Kate,NULL,Beckinsale,1973-07-26,"Kathryn Bailey ""Kate"" Beckinsale is an Englis","Finsbury Park, London, UK"
3968,Michael,NULL,Sheen,1969-02-05,"From Wikipedia, the free encyclopedia

Michae","Newport, Wales"
3969,Shane,NULL,Brolly,1970-03-06,"From Wikipedia, the free encyclopedia.

Shane","Belfast, Northern Ireland"
3970,Erwin,NULL,Leder,0000-00-00,,
3971,Sophia,NULL,Myles,1980-03-18,"From Wikipedia, the free encyclopedia.

Sophi","London, United Kingdom"
3972,Wentworth,NULL,Miller,1972-06-02,"From Wikipedia, the free encyclopedia.

Wentw","Chipping Norton, Oxfordsh"
3977,Joe,NULL,Morton,1947-10-18,"​From Wikipedia, the free encyclopedia.    Jo","The Bronx, New York, U.S."
3978,S.,Epatha,Merkerson,1952-11-28,"From Wikipedia, the free encyclopedia.

S. Ep","Saginaw, Michigan, United"
3979,Castulo,NULL,Guerra,1945-08-24,,
3980,Danny,NULL,Cooksey,1975-11-02,,
3981,Jenette,NULL,Goldstein,1960-02-04,"From Wikipedia, the free encyclopedia.

Jenet","Los Angeles, California, "
3982,Xander,NULL,Berkeley,1955-12-16,"​From Wikipedia, the free encyclopedia.  

Al","Brooklyn, New York, USA"
4003,Christine,NULL,Ebersole,1953-02-21,"Ms. Ebersole won the 2007 Tony Award for Best",
4012,Spencer,Treat,Clark,1987-09-24,"​From Wikipedia, the free encyclopedia.  

Sp","New York City, New York, "
4025,Steve,NULL,Park,0000-00-00,"Steve Park is an actor.",
4029,Bob,NULL,Gunton,1945-11-15,"​From Wikipedia, the free encyclopedia.  

Ro","Santa Monica, California,"
4030,Martin,NULL,Klebba,1969-06-23,"​From Wikipedia, the free encyclopedia.  

Ma","Troy, Michigan, U.S."
4031,Greg,NULL,Ellis,1968-03-21,,
4038,Susan,NULL,Sarandon,1946-10-04,"Susan Abigail Sarandon (born October 4, 1946)","New York City, New York, "
4078,Lee,Van,Cleef,1925-01-09,"From Wikipedia, the free encyclopedia

Lee Va","Somerville, New Jersey, U"
4090,Shirley,NULL,MacLaine,1934-04-24,"From Wikipedia, the free encyclopedia

Shirle","Richmond, Virginia, USA"
4135,Robert,NULL,Redford,1937-08-18,"From Wikipedia, the free encyclopedia.

Charl","Santa Monica, California,"
4139,Tom,NULL,Skerritt,1933-08-25,"​From Wikipedia, the free encyclopedia

Thoma","Detroit, Michigan, USA"
4173,Anthony,NULL,Hopkins,1937-12-31,"Anthony Hopkins was born on 31 December 1937,","Margam, Port Talbot, West"
4175,Jeffrey,NULL,Tambor,1944-07-08,"From Wikipedia, the free encyclopedia.

Jeffr","San Francisco, California"
4177,Jake,NULL,Weber,1964-03-19,"​From Wikipedia, the free encyclopedia.

Jake","London - England - UK"
4201,Wayne,NULL,Knight,1955-08-07,"Wayne Eliot Knight (born August 7, 1955) is a","New York City, New York, "
4238,Common,,,1972-03-13,"Better known by his stage name Common, Lonnie","Chicago, Illinois, USA "
4252,Tony,NULL,Shalhoub,1953-10-09,"From Wikipedia, the free encyclopedia.

Antho","Green Bay, Wisconsin, USA"
4255,Richard,NULL,Portnow,1947-01-26,"​From Wikipedia, the free encyclopedia

Richa","Brooklyn, New York, U.S."
4273,Charlotte,NULL,Gainsbourg,1971-07-21,"From Wikipedia, the free encyclopedia.

Charl","London, England, UK"
4391,Charles,NULL,Dance,1946-10-10,"From Wikipedia, the free encyclopedia

Walter","Birmingham, England, UK"
4430,Sharon,NULL,Stone,1958-03-10,"Sharon Vonne Stone (born March 10, 1958) is a","Meadville, Pennsylvania, "
4443,Christopher,NULL,McDonald,1955-02-15,"​From Wikipedia, the free encyclopedia.  

Ch","New York City, New York, "
4451,Mark,NULL,Webber,1980-07-19,"From Wikipedia, the free encyclopedia

Mark A","Minneapolis, Minnesota, U"
4455,Ulrich,NULL,Thomsen,1963-12-06,"​From Wikipedia, the free encyclopedia

Ulric","Fyn, Denmark"
4458,Paprika,NULL,Steen,1964-11-03,"​From Wikipedia, the free encyclopedia

Papri","Frederiksberg, Denmark"
4459,Birthe,NULL,Neumann,0000-00-00,,
4460,Trine,NULL,Dyrholm,1972-04-15,"From Wikipedia, the free encyclopedia

Trine ","Odense, Denmark"
4483,Dustin,NULL,Hoffman,1937-08-08,"Dustin Lee Hoffman (born August 8, 1937) is a","Los Angeles, California, "
4491,Jennifer,NULL,Aniston,1969-02-11,"Jennifer Joanna Aniston is an American actres","Sherman Oaks - California"
4495,Steve,NULL,Carell,1962-08-16,"Steven John ""Steve"" Carell (born August 16, 1","Concord, Massachusetts, U"
4512,James,NULL,Woods,1947-04-18,"From Wikipedia, the free encyclopedia.

James","Vernal, Utah, USA"
4513,Elizabeth,NULL,McGovern,1961-07-18,"​From Wikipedia, the free encyclopedia.  

El","Evanston, Illinois, USA"
4515,Treat,NULL,Williams,1951-12-01,"​From Wikipedia, the free encyclopedia.  

Ri","Rowayton, Connecticut, Un"
4517,Joe,NULL,Pesci,1943-02-09,"From Wikipedia, the free encyclopedia

Joseph","Newark - New Jersey - USA"
4566,Alan,NULL,Rickman,1946-02-21,"From Wikipedia, the free encyclopedia  Alan S","Hammersmith, London, UK"
4581,Steve,NULL,Coogan,1965-10-14,"From Wikipedia, the free encyclopedia

Stephe","Middleton, Manchester, En"
4587,Halle,NULL,Berry,1966-08-14,"Halle Berry (pronounced /ˈhæli ˈbɛri/; born A","Cleveland, Ohio, USA"
4589,Benjamin,NULL,Bratt,1963-12-16,"From Wikipedia, the free encyclopedia.  Benja","San Francisco, California"
4654,Jeremy,NULL,Davies,1969-10-08,"​From Wikipedia, the free encyclopedia

Jerem","Saugus, California, USA"
4687,Patricia,NULL,Arquette,1968-04-08,"From Wikipedia, the free encyclopedia.

Patri","Chicago, Illinois, U.S."
4688,Michael,NULL,Rapaport,1970-03-20,"American actor and a comedian Michael David R","New York City - New York "
4690,Christopher,NULL,Walken,1943-03-31,"Christopher Walken (born Ronald Walken, usual","Queens, New York USA"
4691,James,NULL,Gandolfini,1961-09-18,"From Wikipedia, the free encyclopedia. James ","Westwood, New Jersey, USA"
4692,Frank,NULL,Adonis,0000-00-00,,
4724,Kevin,NULL,Bacon,1958-07-08,"From Wikipedia, the free encyclopedia. Kevin ","Philadelphia - Pennsylvan"
4733,Robert,NULL,Wahlberg,0000-00-00,,
4753,Brian,NULL,Bloom,1970-06-30,,
4756,Matthew,NULL,Broderick,1962-03-21,"Matthew Broderick is an American actor whose ","New York City, New York, "
4757,Rupert,NULL,Everett,1959-05-29,"From Wikipedia, the free encyclopedia.

Ruper","Burnham Deepdale, Norfolk"
4764,John,C.,Reilly,1965-05-24,"​From Wikipedia, the free encyclopedia.    Jo","Chicago, Illinois, USA"
4766,Melora,NULL,Walters,1959-10-21,"From Wikipedia, the free encyclopedia.

Melor","Dhahran, Saudi Arabia"
4776,Michael,NULL,Murphy,1938-05-05,"​From Wikipedia, the free encyclopedia

Micha","Los Angeles, California, "
4778,Melinda,NULL,Dillon,1939-10-13,"From Wikipedia, the free encyclopedia.

Melin","Hope, Arkansas, USA"
4783,Sam,NULL,Neill,1947-09-14,"From Wikipedia, the free encyclopedia.

Nigel","Omagh, Co. Tyrone, Northe"
4784,Laura,NULL,Dern,1967-02-10,"​From Wikipedia, the free encyclopedia

Laura","Los Angeles, California, "
4785,Jeff,NULL,Goldblum,1952-10-22,"Born Jeffrey Lynn Goldblum on October 22, 195","Pittsburgh, Pennsylvania,"
4786,Richard,NULL,Attenborough,1923-08-29,"From Wikipedia, the free encyclopedia.

Richa","Cambridge, Cambridgeshire"
4787,Joseph,NULL,Mazzello,1983-09-21,"​From Wikipedia, the free encyclopedia.

Heig","Rhinebeck - New York - US"
4788,Ariana,NULL,Richards,1979-09-11,,
4789,Bob,NULL,Peck,1945-08-23,,
4790,Martin,NULL,Ferrero,1947-09-29,,
4791,Greg,NULL,Burson,1949-06-29,"Gregory Lewis ""Greg"" Burson was an American v","Los Angeles, California, "
4796,Alexander,NULL,Beyer,0000-00-00,,
4810,Rosie,NULL,Perez,1964-09-06,"From Wikipedia, the free encyclopedia.

Rosa ","Bushwick, New York, Unite"
4812,Isaach,De,Bankolé,1957-08-12,"From Wikipedia, the free encyclopedia.

Isaac","Abidjan, Côte d'Ivoire"
4935,Pete,NULL,Postlethwaite,1945-02-07,"From Wikipedia, the free encyclopedia.

Peter","Warrington, UK"
4937,Vince,NULL,Vaughn,1970-03-28,"​From Wikipedia, the free encyclopedia.

Vinc","Minneapolis - Minnesota -"
4938,Vanessa,Lee,Chester,1984-07-02,,
4939,Téa,NULL,Leoni,1966-02-25,"From Wikipedia, the free encyclopedia

Elizab","New York City, New York, "
4940,Trevor,NULL,Morgan,1986-11-26,"From Wikipedia, the free encyclopedia.

Trevo","Chicago, Illinois, USA"
4941,Alessandro,NULL,Nivola,1972-06-28,"​From Wikipedia, the free encyclopedia

Aless","Boston, Massachusetts, US"
4942,John,NULL,Diehl,1950-05-01,"From Wikipedia, the free encyclopedia.

John ","Cincinnati, Ohio, USA"
4943,Bruce,A.,Young,1956-04-22,"Bruce A. Young (born April 22, 1956) is an Am",
4944,Taylor,NULL,Nichols,1959-03-03,"From Wikipedia, the free encyclopedia

Cecil ","Louisville, Kentucky, USA"
4945,Joe,NULL,Johnston,1950-05-13,"From Wikipedia, the free encyclopedia.

Josep","Fort Worth, Texas, USA"
4995,James,NULL,Shigeta,1933-06-17,,
5047,Veronica,NULL,Cartwright,1949-04-20,"​From Wikipedia, the free encyclopedia

Veron","Bristol, England, UK"
5048,Harry,Dean,Stanton,1926-07-14,"​From Wikipedia, the free encyclopedia

Harry","West Irvine, Kentucky"
5049,John,NULL,Hurt,1940-01-22,"​From Wikipedia, the free encyclopedia.  

Jo","Shirebrook, Derbyshire, E"
5050,Yaphet,NULL,Kotto,1937-11-15,"From Wikipedia, the free encyclopedia.

Yaphe","New York City, New York, "
5051,Bolaji,NULL,Badejo,0000-00-00,,
5052,Helen,NULL,Horton,0000-00-00,,
5064,Meryl,NULL,Streep,1949-06-22,"From Wikipedia, the free encyclopedia.  Mary ",USA
5081,Emily,NULL,Blunt,1983-02-23,"Emily Olivia Leah Blunt (born 23 February 198","Roehampton, London, Engla"
5090,Adrian,NULL,Grenier,1976-07-10,"From Wikipedia, the free encyclopedia.

Adria","New Mexico, USA"
5129,Paul,NULL,Reubens,1952-08-27,"Paul Reubens (born Paul Rubenfeld; August 27,","Peekskill, New York, U.S"
5131,Diane,NULL,Salinger,1951-01-25,"​From Wikipedia, the free encyclopedia.  

Di"," Philadelphia, Pennsylvan"
5141,Heather,NULL,Langenkamp,1964-07-17,"From Wikipedia, the free encyclopedia

Heathe","Tulsa, Oklahoma, USA"
5149,Bonnie,NULL,Hunt,1961-09-22,"From Wikipedia, the free encyclopedia

Bonnie","Chicago, Illinois, USA"
5150,Kim,NULL,Robillard,0000-00-00,,
5168,Gabriel,NULL,Byrne,1950-05-12,"​From Wikipedia, the free encyclopedia.    Ga"," Dublin, Ireland"
5170,Mike,NULL,Starr,1950-07-29,"From Wikipedia, the free encyclopedia.

Micha","Queens - New York City - "
5292,Denzel,NULL,Washington,1954-12-28,"Denzel Hayes Washington, Jr. (born December 2","Mount Vernon, New York, U"
5293,Willem,NULL,Dafoe,1955-07-22,"From Wikipedia, the free encyclopedia

Willem","Appleton, Wisconsin, USA"
5294,Chiwetel,NULL,Ejiofor,1977-07-10,"Chiwetelu Umeadi ""Chiwetel"" Ejiofor, born on ","Forest Gate, London, UK"
5296,James,NULL,Ransone,1979-06-02,,
5301,Waris,NULL,Ahluwalia,0000-00-00,,
5309,Judi,NULL,Dench,1934-12-09,"From Wikipedia, the free encyclopedia

Dame J","York, North Yorkshire, En"
5313,Lena,NULL,Olin,1955-03-22,"From Wikipedia, the free encyclopedia.

Lena ","Stockholm, Stockholms län"
5365,Clifton,"Collins,",Jr.,1970-06-16,"​From Wikipedia, the free encyclopedia.  

Cl","Los Angeles, California, "
5367,Zach,NULL,Braff,1975-04-06,"Zachary Israel ""Zach"" Braff (born April 6, 19","Sydney, New South Wales, "
5375,Geoffrey,NULL,Arend,1978-02-28,"Born Feb. 28th, 1978 in Queens. Is of Pakista","Manhattan, New York, USA"
5377,Ato,NULL,Essandoh,1972-07-29,"Ato Essandoh is an actor.","Schenectady - New York - "
5395,Alex,NULL,Burns,0000-00-00,,
5414,Colin,NULL,Salmon,1962-12-06,"​From Wikipedia, the free encyclopedia.

Coli","Bethnal Green, London, En"
5419,Saïd,NULL,Taghmaoui,1973-07-19,"​From Wikipedia, the free encyclopedia

Saïd ","Sevran, France"
5469,Ralph,NULL,Fiennes,1962-12-22,"Ralph Nathaniel Twisleton-Wykeham-Fiennes, kn","Ipswitch, Suffolk, UK"
5470,Kristin,Scott,Thomas,1960-05-24,"From Wikipedia, the free encyclopedia.

Krist","Redruth, Cornwall, Englan"
5471,Naveen,NULL,Andrews,1969-01-17,"​From Wikipedia, the free encyclopedia.  

Na","London, England, UK"
5502,Bill,NULL,Nunn,1953-10-20,"​From Wikipedia, the free encyclopedia.  

Wi","Pittsburgh, Pennsylvania,"
5530,James,NULL,McAvoy,1979-04-21,"​From Wikipedia, the free encyclopedia.

Jame","Port Glasgow, Scotland, U"
5533,Elizabeth,NULL,Hawthorne,0000-00-00,,
5538,Ray,NULL,Winstone,1957-02-19,"Raymond Andrew ""Ray"" Winstone (born 19 Februa","Hackney, London, England,"
5575,Akiva,NULL,Goldsman,1962-07-07,"From Wikipedia, the free encyclopedia

Akiva ","New York City - New York "
5576,Val,NULL,Kilmer,1959-12-31,"From Wikipedia, the free encyclopedia

Val Ed","Los Angeles, California, "
5578,Debi,NULL,Mazar,1964-08-13,"​From Wikipedia, the free encyclopedia.

Debo","Queens, New York, USA"
5587,Hank,NULL,Azaria,1964-04-25,"From Wikipedia, the free encyclopedia.

Henry","Queens, New York, USA"
5644,Alexandra,Maria,Lara,1978-11-12,"From Wikipedia, the free encyclopedia.

Alexa","Bucharest, Romania"
5657,Anjelica,NULL,Huston,1951-07-08,"From Wikipedia, the free encyclopedia.

Anjel","Santa Monica, California,"
5658,Michael,NULL,Gambon,1940-10-19,"Sir Michael Gambon is an Irish-British actor ","Cabra, Dublin, Ireland"
5661,Matthew,Gray,Gubler,1980-03-09,"From Wikipedia, the free encyclopedia.  Matth","Las Vegas, Nevada, USA"
5694,Robert,NULL,Forster,1941-07-13,"​From Wikipedia, the free encyclopedia.  

Ro","Rochester, New York, USA"
5698,Jessica,NULL,Tandy,1909-06-07,"From Wikipedia, the free encyclopedia.

Jessi","London, England"
5713,Chris,NULL,Wedge,1957-03-20,"From Wikipedia, the free encyclopedia.

John ","Binghamton, New York, USA"
5723,John,NULL,Leguizamo,1964-07-22,"From Wikipedia, the free encyclopedia

John L"," Bogotá, Colombia"
5724,Denis,NULL,Leary,1957-08-18,"From Wikipedia, the free encyclopedia.

Denis","Worcester, Massachusetts,"
5725,Goran,NULL,Višnjić,1972-09-09,"From Wikipedia, the free encyclopedia.

Goran","Šibenik, Croatia"
5726,Cedric,the,Entertainer,1964-04-24,"​From Wikipedia, the free encyclopedia.  

Ce","Missouri, USA"
